InvoiceName,Query,AccountID
3.jpg,"L'achat concerne des fournitures pour l'exercice d'une activité artisanale.
Fournitures de bureau
Atelier poterie
Poterie, Atelier",6126
49.jpg,"L'achat concerne les fournitures d'eau et d'assainissement pour l'entreprise. Il s'agit donc d'une dépense courante.
335 - Fournitures d'eau et assainissement
Fournitures de services publics
Eau et assainissement",6125
57.jpg,"L'abonnement annuel au nom de domaine smartcall.ma représente une opération de services liée à la maintenance et à l'hébergement du site web, nécessitant un paiement régulier pour des raisons de sécurité, d'intégrité et de disponibilité.
Services de nom de domaine
Prestations de services
Nom de domaine, Abonnement annuel",6126
58.jpg,"L'entreprise a acheté des papiers de nettoyage et d'hygiène, notamment du papier zig-zag HYG Q23*, du papier essuie-main Q23* et du papier jumbo HYG MO23*. Il s'agit probablement de fournitures utilisées pour le nettoyage et l'entretien des locaux.
Fournitures de nettoyage
Fournitures de nettoyage et d'hygiène
PAPIER, NETTOYAGE, HYGIENE",6122
61.jpg,"L'achat concerne des articles d\u00b7aménagement et de décoration tels que la table de réunion en blanc 180*90CM, ce qui suggère une immobilisation ou un investissement dans le mobilier de l\u00b2entreprise. Il n'y a pas d'informations sur les quantités ou les prix des articles.
Fournitures de bureau
Fournitures de bureau
TABLE DE REUNION EN BLANC, Fournitures de bureau",2351
66.jpg,"L'achat concerne divers articles de papeterie, dont des BLOCPOST-IT, des cartouches d'imprimante et des chemises. Il s'agit d'une immobilisation.
210 - Fournitures de bureau
Papeterie / Fournitures de bureau
BLOCPOST-IT, Cartouche, Chemise",6122
67.jpg,"L'achat concerne des fournitures de bureau destinées à être utilisées dans les opérations de l'entreprise. Il s'agit donc d'une dépense courante.

Fournitures de bureau
Boîte Élagance, Boîte Valise Écrue, Ruban Satin, Ficelle de Jute, Toile de Jute",6123
76.jpg,"L'achat concerne un accessoire informatique destiné à être utilisé pour la navigation sur ordinateur. Il s'agit donc d'une immobilisation.
215 - Matériel informatique
Matériel informatique
Souris optique, Ordinateur",2355
109.jpg,"
La présente facture concerne un service de recrutement pour une durée de 1 mois, avec un montant total HT de 1750,00 DH et une TVA de 350,00 DH. Le montant NET TTC est de 2100,00 DH.
Service de recrutement
Prestations de services
recrutement annonces
",6126
114.jpg,"Cette facture concerne des services de transport aérien (basic service fee, TVA) et d'hébergement dans deux hôtels différentes. Il s'agit donc d'une transaction liée à l'activité de voyage.
Services de voyage
Services de transport et d'hébergement
transport aérien, hébergement, billet",6126
121.jpg,"L'achat concerne du matériel informatique destiné à être utilisé pour la sécurité et la surveillance des installations. Il s'agit donc d'une immobilisation.


",2355
129.jpg,"L'entreprise a commandé diverses fournitures de bureau, notamment des tables de travail, des chaises, des étagères et d'autres meubles. La transaction comprend également un montant total HT (hors taxes) de 7 246,3 DH et un total TTC (toutes taxes comprises) de 8 695,6 DH.
Achats de fournitures de bureau
Fournitures de bureau
fournitures de bureau, table de travail, chaise, étagère, etc.",2351
131.jpg,"L'analyse de cette facture montre que l'on a acheté un habillage pour véhicule avec vernis, ce qui suggère une immobilisation.
Fournitures de bureau
Matériel spécial
HABILLAGE VEHICULEAVEC VERNIS",2117
151.jpg,"L'analyse de la transaction indique un achat d'un montant total de 120,00 MAD, avec une TVA de 20,00 MAD et un montant hors taxe de 100,00 MAD. L'article 1 est détaillé comme suit : MONTANT : 120,00
Aucun compte à débiter précisé
Article non spécifié dans la facture
",2352
164.jpg,"Analyse : Il s'agit d'une facture pour les services Internet et communication, fournies par Maroc Telecom. L'entreprise a bénéficié d'une connexion de fibre optique avec une vitesse de 100 Mb/s, ainsi que des appels en illimité vers le Fixe national et 10 heures de communications gratuites vers le Mobie national et international.
Services télécoms
Services Internet et communication
Internet, Fibre Optigue, Appel, Commmunication",6145
311.jpg,"Analyse détaillée de la transaction : Il s'agit d'un achat de smartphones Samsung A04 U réalisé auprès de l'entreprise ELECTROAINANE SARLAU. La quantité est de 1 unité et le prix unitaire est de 375,00 euros H.T. Le montant H.T est donc de 1375,00 euros.
Achats de matériel informatique
Matériel informatique
Smartphone",2355
314.jpg,"
Cette facture concerne une opération d'assurance accident du travail pour le compte de la société ASSURLAND, avec un montant total à payer de 2586,43 dh. L'echeance est fixée au 01/01/2023.
Charges assurancielles
Assurance
Accident du travail, Assurance
",6134
315.jpg,"L'achat concerne un véhicule personnalisé (Renault Express Van) vendu au prix de 138317.76 MAD, avec divers frais associés.
214 - Vehicules
Fournitures de bureau
Vehicule, Renault, Express, Van, Explores",2340
316.jpg,"Cette facture concerne une livraison de matériel électroménager et de service, notamment des climatiseurs BOSCH et des installations Samsung. La transaction implique trois types de produits/services : les climatiseurs BOSCH CLIM 18BTU, l'installation SAMSUNG, ainsi que le service d'une société.
215 - Matériel électroménager et services
Matériel électroménager et services
Climatiseur, Installation, Service",2331
317.jpg,"La facture concerne les fournitures d'électricité pour un nombre de jours donné, avec des tarifs appliqués selon le type de consommation et les taxes applicables.
Fournitures
Fournitures
Consommation électricité, Tranche 1, Tranche 2, Taxes pour le compte de l'Etat, Taxe pour la promotion du paysage audiovisuel, TVA 7%, TVA 14%, TVA 20%",6125
319.jpg,"Cette facture concerne les frais mensuels liés à un forfait d'accès à Internet, avec des options de plafonnement et d'option intra-flotte.

Frais d'accès à Internet
",6145
327.jpg,"L'entreprise AROUF TotnBurtoallnirc OUTIDIS SARL BRICOMA BOUSKOURA a émis une facture pour la vente de deux produits : un nettoyant et une garniture de vitesse. Les quantités et les prix sont indiqués dans le tableau.
215 - Fournitures de bureau
Fournitures de bureau
Nettoyant, SIEGE GARNITURE SPEED, SERPILLIERESMICROFIBRE",6122
340.jpg,"L'entreprise BiGOffice a effectué des achats de mobilier de bureau, comprenant une chaise en bois pour la direction, une chaise en bois pour le président, un grand bureau et un tapis, auprès de l'entreprise OUTIDIS SARL.
Fournitures de bureau
Fournitures de bureau
Fourniture, Mobilier de Bureau",2351
383.jpg,"Cette facture concerne une opération de vente entre l&#39;auto-entrepreneur Mouhcine FTOUHI et le client Smart Call Distribution. La factorisation inclut un montant total de 3100,00 DH hors TVA.
Achats généraux
Fournitures de bureau ou prestations de services
facture, client, adresse, montant",6136
417.jpg,"L'entreprise Kayar* KY REPRESENTATION a facturé un total de 13777.31 dirhams TTC pour des quincailleries et accessoires, notamment des serrures, des équarrés en zinc, des lumières LED, etc.
Achats de quincaillerie
Quincaillerie et accessoires
Quince, GOLABILED, GOLA RA LED16MMNOIR, JEU EQUERRES POUR GOLA EN ZINC, TIRETTE 600MM NOIR, NSA TTE200",6122
419.jpg,"L'entreprise PRO NUMERIQUE a reçu une facture du fournisseur CARROT pour un montant total de 1300,00 DH TTC. La facture comprend l'impression d'un écran Backlight pour un prix unitaire de 1083,33 DH HT, avec une TVA de 16,67%. Les informations de contact du fournisseur sont indiquées en bas de la page.
215 - Matériel informatique
Matériel informatique
",6126
45.jpg,"
L'analyse de cette facture concerne les forfaits et abonnements relatifs à une ligne de téléphone. Il s'agit d'une opération de service.
Frais de services
Prestations de services
FF ILLIMITE PRO NATIONAL
",6145
9.jpg,"L'analyse détaillée de la transaction montre que l'on s'agit d'honoraires pour services professionnels portant sur le dépôt des états de synthèses de l'exercice clos au 31/12/2021.
Services professionnels
Prestations de services
Services professionnels, Honoraires, Frais, Débours",6136
52.jpg,"Cette facture concerne principalement des loyers et des débours relatifs à la garantie, ainsi que des frais fiscaux. Il s'agit d'une transaction comptable liée aux opérations financières de l'entreprise.
Frais généraux
Frais généraux, loyer, débours de garantie
Loyer, Dépt de garantie, Taxe, Montant TTC, H.T, TVA, Société de Financement dAchat, CréditS.A.",6131
80.jpg,"La facture concerne des prestations de services liées à la tax compliance et au suivi comptable pour la période du mois de Juin 2022, y compris les honoraires pour le paiement du mois de Juin.

Prestations de services
Tax compliance, suivi comptable, paie",6136
4.jpg,"La facture concerne des achats pour la station-service ISTIRAHA, notamment du carburant (gasoil) et des lubrifiants. Il s'agit d'une transaction liée à l'activité de vente de combustibles et de services aux véhicules.
Achats de carburant
Fournitures de carburant et lubrifiants
Carburant, Lubrifiant, Service, Station-service
",6125
27.jpg,"L'analyse de cette facture concerne l'achat de matériel informatique et électrique pour une entreprise. Il s'agit notamment d'une armoire informatique, un switch réseau, des câbles réseaux, une alimentation électrique, des appareils de surveillance et un disque dur.
Fournitures de bureau
Matériel informatique et électrique
ARMOIRE INFORMATIQUE, SWITCHE RESEAUX, CABLE RESEAUX, BLOCKD'ALIMENTATION, CAMERA 12V/10A, Disque dur SATA, CAMERA DE SURVEILLANCE, CABLE COAXlAL",2355
351.jpg,"L'achat concerne du matériel spécialisé pour la halle d'emplissage et l'entretien de bouteilles. Il s'agit donc d'une immobilisation.
Matériel spécialisé
Fourniture des machines
Machines, Halle d'emplissage, Entretien bouteilles, Transport",2332
170.jpg,"L'achat concerne une imprimante multifonction laser couleur HP LaserJet Pro M283fdw pour l entreprise OUTIDIS. Il s agit d'un achat important et coûteux, représentant plus de 4 583 euros.
Fournitures de bureau
Matériel informatique
Imprimante, Laser",2352
